,age,country,gdp_for_year ($),population,salaries,sex,suicides/100k pop,suicides_no,year
0,15-24 years,Albania,2156624900.0,312900,,male,6.71,21,1987
1,35-54 years,Albania,2156624900.0,308000,,male,5.19,16,1987
2,15-24 years,Albania,2156624900.0,289700,,female,4.83,14,1987
3,75+ years,Albania,2156624900.0,21800,,male,4.59,1,1987
4,25-34 years,Albania,2156624900.0,274300,,male,3.28,9,1987
5,75+ years,Albania,2156624900.0,35600,,female,2.81,1,1987
6,35-54 years,Albania,2156624900.0,278800,,female,2.15,6,1987
7,25-34 years,Albania,2156624900.0,257200,,female,1.56,4,1987
8,55-74 years,Albania,2156624900.0,137500,,male,0.73,1,1987
9,5-14 years,Albania,2156624900.0,311000,,female,0.0,0,1987
10,55-74 years,Albania,2156624900.0,144600,,female,0.0,0,1987
11,5-14 years,Albania,2156624900.0,338200,,male,0.0,0,1987
12,75+ years,Albania,2126000000.0,36400,,female,5.49,2,1988
13,15-24 years,Albania,2126000000.0,319200,,male,5.33,17,1988
14,75+ years,Albania,2126000000.0,22300,,male,4.48,1,1988
15,35-54 years,Albania,2126000000.0,314100,,male,4.46,14,1988
16,55-74 years,Albania,2126000000.0,140200,,male,2.85,4,1988
17,15-24 years,Albania,2126000000.0,295600,,female,2.71,8,1988
18,55-74 years,Albania,2126000000.0,147500,,female,2.03,3,1988
19,25-34 years,Albania,2126000000.0,262400,,female,1.91,5,1988
20,25-34 years,Albania,2126000000.0,279900,,male,1.79,5,1988
21,35-54 years,Albania,2126000000.0,284500,,female,1.41,4,1988
22,5-14 years,Albania,2126000000.0,317200,,female,0.0,0,1988
23,5-14 years,Albania,2126000000.0,345000,,male,0.0,0,1988
24,75+ years,Albania,2335124988.0,22500,,male,8.89,2,1989
25,25-34 years,Albania,2335124988.0,283600,,male,6.35,18,1989
26,35-54 years,Albania,2335124988.0,318400,,male,4.71,15,1989
27,55-74 years,Albania,2335124988.0,142100,,male,4.22,6,1989
28,15-24 years,Albania,2335124988.0,323500,,male,3.71,12,1989
29,35-54 years,Albania,2335124988.0,288600,,female,2.43,7,1989
30,15-24 years,Albania,2335124988.0,299900,,female,1.67,5,1989
31,25-34 years,Albania,2335124988.0,266300,,female,0.75,2,1989
32,55-74 years,Albania,2335124988.0,149600,,female,0.67,1,1989
33,5-14 years,Albania,2335124988.0,321900,,female,0.0,0,1989
34,75+ years,Albania,2335124988.0,37000,,female,0.0,0,1989
35,5-14 years,Albania,2335124988.0,349700,,male,0.0,0,1989
36,35-54 years,Albania,709452584.0,343800,23.8,male,3.49,12,1992
37,15-24 years,Albania,709452584.0,263700,23.8,male,3.41,9,1992
38,55-74 years,Albania,709452584.0,159500,23.8,male,3.13,5,1992
39,25-34 years,Albania,709452584.0,245500,23.8,male,2.85,7,1992
40,15-24 years,Albania,709452584.0,292400,23.8,female,2.39,7,1992
41,25-34 years,Albania,709452584.0,267400,23.8,female,1.5,4,1992
42,35-54 years,Albania,709452584.0,323100,23.8,female,0.62,2,1992
43,55-74 years,Albania,709452584.0,164900,23.8,female,0.61,1,1992
44,5-14 years,Albania,709452584.0,336700,23.8,female,0.0,0,1992
45,75+ years,Albania,709452584.0,38700,23.8,female,0.0,0,1992
46,5-14 years,Albania,709452584.0,362900,23.8,male,0.0,0,1992
47,75+ years,Albania,709452584.0,23900,23.8,male,0.0,0,1992
48,15-24 years,Albania,1228071038.0,243300,30.2,male,7.4,18,1993
49,55-74 years,Albania,1228071038.0,165000,30.2,male,4.24,7,1993
50,75+ years,Albania,1228071038.0,24200,30.2,male,4.13,1,1993
51,25-34 years,Albania,1228071038.0,230100,30.2,male,3.91,9,1993
52,15-24 years,Albania,1228071038.0,285300,30.2,female,3.51,10,1993
53,35-54 years,Albania,1228071038.0,350300,30.2,male,2.85,10,1993
54,25-34 years,Albania,1228071038.0,261800,30.2,female,2.67,7,1993
55,35-54 years,Albania,1228071038.0,331200,30.2,female,2.11,7,1993
56,55-74 years,Albania,1228071038.0,169500,30.2,female,1.18,2,1993
57,5-14 years,Albania,1228071038.0,340300,30.2,female,0.29,1,1993
58,5-14 years,Albania,1228071038.0,367000,30.2,male,0.27,1,1993
59,75+ years,Albania,1228071038.0,39300,30.2,female,0.0,0,1993
60,75+ years,Albania,1985673798.0,24600,50.5,male,8.13,2,1994
61,55-74 years,Albania,1985673798.0,171400,50.5,male,6.42,11,1994
62,75+ years,Albania,1985673798.0,39900,50.5,female,5.01,2,1994
63,25-34 years,Albania,1985673798.0,231400,50.5,male,2.59,6,1994
64,35-54 years,Albania,1985673798.0,362800,50.5,male,2.48,9,1994
65,15-24 years,Albania,1985673798.0,242200,50.5,male,2.48,6,1994
66,15-24 years,Albania,1985673798.0,282600,50.5,female,2.12,6,1994
67,25-34 years,Albania,1985673798.0,261100,50.5,female,1.53,4,1994
68,35-54 years,Albania,1985673798.0,342500,50.5,female,0.58,2,1994
69,55-74 years,Albania,1985673798.0,174600,50.5,female,0.57,1,1994
70,5-14 years,Albania,1985673798.0,371800,50.5,male,0.27,1,1994
71,5-14 years,Albania,1985673798.0,344400,50.5,female,0.0,0,1994
72,25-34 years,Albania,2424499009.0,232900,69.1,male,5.58,13,1995
73,55-74 years,Albania,2424499009.0,178000,69.1,male,5.06,9,1995
74,75+ years,Albania,2424499009.0,40800,69.1,female,4.9,2,1995
75,15-24 years,Albania,2424499009.0,283500,69.1,female,4.59,13,1995
76,15-24 years,Albania,2424499009.0,241200,69.1,male,4.56,11,1995
77,75+ years,Albania,2424499009.0,25100,69.1,male,3.98,1,1995
78,35-54 years,Albania,2424499009.0,375900,69.1,male,3.72,14,1995
79,25-34 years,Albania,2424499009.0,264000,69.1,female,2.65,7,1995
80,35-54 years,Albania,2424499009.0,356400,69.1,female,2.24,8,1995
81,5-14 years,Albania,2424499009.0,376500,69.1,male,1.59,6,1995
82,55-74 years,Albania,2424499009.0,180400,69.1,female,1.11,2,1995
83,5-14 years,Albania,2424499009.0,348700,69.1,female,0.57,2,1995
84,75+ years,Albania,3314898292.0,25400,82.7,male,7.87,2,1996
85,15-24 years,Albania,3314898292.0,243600,82.7,male,6.98,17,1996
86,25-34 years,Albania,3314898292.0,235300,82.7,male,5.95,14,1996
87,15-24 years,Albania,3314898292.0,287700,82.7,female,5.56,16,1996
88,75+ years,Albania,3314898292.0,41200,82.7,female,4.85,2,1996
89,25-34 years,Albania,3314898292.0,267900,82.7,female,3.73,10,1996
90,35-54 years,Albania,3314898292.0,379600,82.7,male,3.16,12,1996
91,35-54 years,Albania,3314898292.0,362000,82.7,female,2.49,9,1996
92,55-74 years,Albania,3314898292.0,179900,82.7,male,1.67,3,1996
93,55-74 years,Albania,3314898292.0,183100,82.7,female,0.55,1,1996
94,5-14 years,Albania,3314898292.0,380400,82.7,male,0.53,2,1996
95,5-14 years,Albania,3314898292.0,354100,82.7,female,0.28,1,1996
96,25-34 years,Albania,2359903108.0,236000,60.8,male,15.25,36,1997
97,15-24 years,Albania,2359903108.0,244400,60.8,male,13.5,33,1997
98,75+ years,Albania,2359903108.0,25400,60.8,male,11.81,3,1997
99,35-54 years,Albania,2359903108.0,380800,60.8,male,7.88,30,1997
100,15-24 years,Albania,2359903108.0,294000,60.8,female,7.14,21,1997
101,55-74 years,Albania,2359903108.0,180300,60.8,male,6.66,12,1997
102,25-34 years,Albania,2359903108.0,273900,60.8,female,5.84,16,1997
103,75+ years,Albania,2359903108.0,42100,60.8,female,4.75,2,1997
104,35-54 years,Albania,2359903108.0,370100,60.8,female,1.89,7,1997
105,5-14 years,Albania,2359903108.0,361800,60.8,female,1.66,6,1997
106,5-14 years,Albania,2359903108.0,381500,60.8,male,1.05,4,1997
107,55-74 years,Albania,2359903108.0,187000,60.8,female,0.0,0,1997
108,75+ years,Albania,2707123772.0,25800,72.3,male,11.63,3,1998
109,15-24 years,Albania,2707123772.0,248800,72.3,male,10.85,27,1998
110,15-24 years,Albania,2707123772.0,295600,72.3,female,10.83,32,1998
111,25-34 years,Albania,2707123772.0,240400,72.3,male,10.82,26,1998
112,35-54 years,Albania,2707123772.0,388200,72.3,male,7.47,29,1998
113,55-74 years,Albania,2707123772.0,183800,72.3,male,4.9,9,1998
114,25-34 years,Albania,2707123772.0,275300,72.3,female,3.63,10,1998
115,55-74 years,Albania,2707123772.0,188200,72.3,female,3.19,6,1998
116,35-54 years,Albania,2707123772.0,372100,72.3,female,2.42,9,1998
117,5-14 years,Albania,2707123772.0,388400,72.3,male,0.51,2,1998
118,5-14 years,Albania,2707123772.0,363800,72.3,female,0.27,1,1998
119,75+ years,Albania,2707123772.0,42300,72.3,female,0.0,0,1998
120,75+ years,Albania,3414760915.0,25900,88.0,male,11.58,3,1999
121,15-24 years,Albania,3414760915.0,250600,88.0,male,9.58,24,1999
122,75+ years,Albania,3414760915.0,42400,88.0,female,9.43,4,1999
123,35-54 years,Albania,3414760915.0,391100,88.0,male,7.93,31,1999
124,25-34 years,Albania,3414760915.0,242300,88.0,male,7.84,19,1999
125,55-74 years,Albania,3414760915.0,185200,88.0,male,7.56,14,1999
126,15-24 years,Albania,3414760915.0,296800,88.0,female,6.4,19,1999
127,25-34 years,Albania,3414760915.0,276500,88.0,female,4.7,13,1999
128,55-74 years,Albania,3414760915.0,188800,88.0,female,3.18,6,1999
129,35-54 years,Albania,3414760915.0,373600,88.0,female,1.34,5,1999
130,5-14 years,Albania,3414760915.0,365200,88.0,female,0.27,1,1999
131,5-14 years,Albania,3414760915.0,391300,88.0,male,0.0,0,1999
132,25-34 years,Albania,3632043908.0,232000,92.9,male,7.33,17,2000
133,55-74 years,Albania,3632043908.0,177400,92.9,male,5.64,10,2000
134,75+ years,Albania,3632043908.0,37800,92.9,female,5.29,2,2000
135,75+ years,Albania,3632043908.0,24900,92.9,male,4.02,1,2000
136,15-24 years,Albania,3632043908.0,263900,92.9,female,2.27,6,2000
137,15-24 years,Albania,3632043908.0,240000,92.9,male,2.08,5,2000
138,35-54 years,Albania,3632043908.0,332200,92.9,female,1.51,5,2000
139,25-34 years,Albania,3632043908.0,245800,92.9,female,1.22,3,2000
140,35-54 years,Albania,3632043908.0,374700,92.9,male,1.07,4,2000
141,5-14 years,Albania,3632043908.0,374900,92.9,male,0.27,1,2000
142,5-14 years,Albania,3632043908.0,324700,92.9,female,0.0,0,2000
143,55-74 years,Albania,3632043908.0,168000,92.9,female,0.0,0,2000
144,25-34 years,Albania,4060758804.0,206484,103.3,male,10.65,22,2001
145,35-54 years,Albania,4060758804.0,378826,103.3,male,8.98,34,2001
146,55-74 years,Albania,4060758804.0,196670,103.3,male,5.59,11,2001
147,75+ years,Albania,4060758804.0,47254,103.3,female,4.23,2,2001
148,15-24 years,Albania,4060758804.0,256039,103.3,male,3.91,10,2001
149,15-24 years,Albania,4060758804.0,271359,103.3,female,3.32,9,2001
150,35-54 years,Albania,4060758804.0,370191,103.3,female,3.24,12,2001
151,75+ years,Albania,4060758804.0,31044,103.3,male,3.22,1,2001
152,55-74 years,Albania,4060758804.0,189799,103.3,female,3.16,6,2001
153,5-14 years,Albania,4060758804.0,321556,103.3,male,1.87,6,2001
154,25-34 years,Albania,4060758804.0,222771,103.3,female,1.8,4,2001
155,5-14 years,Albania,4060758804.0,307356,103.3,female,0.65,2,2001
156,75+ years,Albania,4435078648.0,31007,118.0,male,12.9,4,2002
157,25-34 years,Albania,4435078648.0,206286,118.0,male,11.15,23,2002
158,35-54 years,Albania,4435078648.0,382139,118.0,male,9.16,35,2002
159,55-74 years,Albania,4435078648.0,198130,118.0,male,6.56,13,2002
160,15-24 years,Albania,4435078648.0,263067,118.0,male,5.7,15,2002
161,15-24 years,Albania,4435078648.0,275970,118.0,female,5.07,14,2002
162,35-54 years,Albania,4435078648.0,375113,118.0,female,4.0,15,2002
163,25-34 years,Albania,4435078648.0,223685,118.0,female,3.13,7,2002
164,75+ years,Albania,4435078648.0,47407,118.0,female,2.11,1,2002
165,55-74 years,Albania,4435078648.0,191712,118.0,female,2.09,4,2002
166,5-14 years,Albania,4435078648.0,304850,118.0,female,0.33,1,2002
167,5-14 years,Albania,4435078648.0,319473,118.0,male,0.31,1,2002
168,75+ years,Albania,5746945913.0,49088,152.0,female,12.22,6,2003
169,55-74 years,Albania,5746945913.0,201520,152.0,male,7.94,16,2003
170,35-54 years,Albania,5746945913.0,386196,152.0,male,7.25,28,2003
171,15-24 years,Albania,5746945913.0,273235,152.0,male,5.49,15,2003
172,15-24 years,Albania,5746945913.0,283709,152.0,female,4.93,14,2003
173,55-74 years,Albania,5746945913.0,195699,152.0,female,4.6,9,2003
174,25-34 years,Albania,5746945913.0,205433,152.0,male,4.38,9,2003
175,25-34 years,Albania,5746945913.0,222941,152.0,female,4.04,9,2003
176,35-54 years,Albania,5746945913.0,381760,152.0,female,3.41,13,2003
177,75+ years,Albania,5746945913.0,32667,152.0,male,3.06,1,2003
178,5-14 years,Albania,5746945913.0,313204,152.0,male,1.28,4,2003
179,5-14 years,Albania,5746945913.0,298477,152.0,female,0.0,0,2003
180,75+ years,Albania,7314865176.0,35526,185.2,male,11.26,4,2004
181,35-54 years,Albania,7314865176.0,391767,185.2,male,9.95,39,2004
182,25-34 years,Albania,7314865176.0,203938,185.2,male,7.85,16,2004
183,15-24 years,Albania,7314865176.0,292268,185.2,female,6.84,20,2004
184,15-24 years,Albania,7314865176.0,286768,185.2,male,6.63,19,2004
185,75+ years,Albania,7314865176.0,50970,185.2,female,5.89,3,2004
186,25-34 years,Albania,7314865176.0,222389,185.2,female,4.95,11,2004
187,55-74 years,Albania,7314865176.0,207202,185.2,male,4.83,10,2004
188,35-54 years,Albania,7314865176.0,391436,185.2,female,4.34,17,2004
189,55-74 years,Albania,7314865176.0,203841,185.2,female,1.47,3,2004
190,5-14 years,Albania,7314865176.0,286705,185.2,female,1.05,3,2004
191,5-14 years,Albania,7314865176.0,302181,185.2,male,0.33,1,2004
192,15-24 years,Albania,8158548717.0,281922,200.2,female,0.0,0,2005
193,25-34 years,Albania,8158548717.0,190745,200.2,female,0.0,0,2005
194,35-54 years,Albania,8158548717.0,386513,200.2,female,0.0,0,2005
195,5-14 years,Albania,8158548717.0,276559,200.2,female,0.0,0,2005
196,55-74 years,Albania,8158548717.0,210998,200.2,female,0.0,0,2005
197,75+ years,Albania,8158548717.0,53191,200.2,female,0.0,0,2005
198,15-24 years,Albania,8158548717.0,281675,200.2,male,0.0,0,2005
199,25-34 years,Albania,8158548717.0,177519,200.2,male,0.0,0,2005
200,35-54 years,Albania,8158548717.0,380242,200.2,male,0.0,0,2005
201,5-14 years,Albania,8158548717.0,291367,200.2,male,0.0,0,2005
202,55-74 years,Albania,8158548717.0,214118,200.2,male,0.0,0,2005
203,75+ years,Albania,8158548717.0,38471,200.2,male,0.0,0,2005
204,15-24 years,Albania,8992642349.0,283138,222.6,female,0.0,0,2006
205,25-34 years,Albania,8992642349.0,186391,222.6,female,0.0,0,2006
206,35-54 years,Albania,8992642349.0,388746,222.6,female,0.0,0,2006
207,5-14 years,Albania,8992642349.0,267316,222.6,female,0.0,0,2006
208,55-74 years,Albania,8992642349.0,215907,222.6,female,0.0,0,2006
209,75+ years,Albania,8992642349.0,56011,222.6,female,0.0,0,2006
210,15-24 years,Albania,8992642349.0,286679,222.6,male,0.0,0,2006
211,25-34 years,Albania,8992642349.0,174092,222.6,male,0.0,0,2006
212,35-54 years,Albania,8992642349.0,379076,222.6,male,0.0,0,2006
213,5-14 years,Albania,8992642349.0,282678,222.6,male,0.0,0,2006
214,55-74 years,Albania,8992642349.0,219360,222.6,male,0.0,0,2006
215,75+ years,Albania,8992642349.0,40782,222.6,male,0.0,0,2006
216,75+ years,Albania,10701011897.0,42366,302.4,male,18.88,8,2007
217,35-54 years,Albania,10701011897.0,378626,302.4,male,7.66,29,2007
218,55-74 years,Albania,10701011897.0,224160,302.4,male,6.25,14,2007
219,75+ years,Albania,10701011897.0,57404,302.4,female,5.23,3,2007
220,25-34 years,Albania,10701011897.0,172494,302.4,male,5.22,9,2007
221,15-24 years,Albania,10701011897.0,281080,302.4,female,4.63,13,2007
222,15-24 years,Albania,10701011897.0,288349,302.4,male,4.51,13,2007
223,25-34 years,Albania,10701011897.0,183629,302.4,female,4.36,8,2007
224,55-74 years,Albania,10701011897.0,221120,302.4,female,4.07,9,2007
225,35-54 years,Albania,10701011897.0,391811,302.4,female,3.57,14,2007
226,5-14 years,Albania,10701011897.0,272497,302.4,male,1.47,4,2007
227,5-14 years,Albania,10701011897.0,256808,302.4,female,0.0,0,2007
228,25-34 years,Albania,12881352688.0,172855,408.6,male,12.15,21,2008
229,35-54 years,Albania,12881352688.0,377119,408.6,male,9.81,37,2008
230,55-74 years,Albania,12881352688.0,228672,408.6,male,9.18,21,2008
231,75+ years,Albania,12881352688.0,59369,408.6,female,8.42,5,2008
232,15-24 years,Albania,12881352688.0,276073,408.6,female,7.24,20,2008
233,25-34 years,Albania,12881352688.0,182663,408.6,female,4.93,9,2008
234,35-54 years,Albania,12881352688.0,393832,408.6,female,4.82,19,2008
235,75+ years,Albania,12881352688.0,44574,408.6,male,4.49,2,2008
236,15-24 years,Albania,12881352688.0,286702,408.6,male,3.84,11,2008
237,55-74 years,Albania,12881352688.0,226448,408.6,female,3.09,7,2008
238,5-14 years,Albania,12881352688.0,262464,408.6,male,2.67,7,2008
239,5-14 years,Albania,12881352688.0,246288,408.6,female,0.41,1,2008
240,15-24 years,Albania,12044212904.0,270003,379.8,female,0.0,0,2009
241,25-34 years,Albania,12044212904.0,182712,379.8,female,0.0,0,2009
242,35-54 years,Albania,12044212904.0,394286,379.8,female,0.0,0,2009
243,5-14 years,Albania,12044212904.0,236174,379.8,female,0.0,0,2009
244,55-74 years,Albania,12044212904.0,233302,379.8,female,0.0,0,2009
245,75+ years,Albania,12044212904.0,61582,379.8,female,0.0,0,2009
246,15-24 years,Albania,12044212904.0,283448,379.8,male,0.0,0,2009
247,25-34 years,Albania,12044212904.0,174955,379.8,male,0.0,0,2009
248,35-54 years,Albania,12044212904.0,374365,379.8,male,0.0,0,2009
249,5-14 years,Albania,12044212904.0,253007,379.8,male,0.0,0,2009
250,55-74 years,Albania,12044212904.0,234570,379.8,male,0.0,0,2009
251,75+ years,Albania,12044212904.0,47331,379.8,male,0.0,0,2009
252,55-74 years,Albania,11926953259.0,241852,334.7,male,8.27,20,2010
253,35-54 years,Albania,11926953259.0,371611,334.7,male,5.38,20,2010
254,25-34 years,Albania,11926953259.0,179720,334.7,male,5.01,9,2010
255,75+ years,Albania,11926953259.0,50767,334.7,male,3.94,2,2010
256,15-24 years,Albania,11926953259.0,279508,334.7,male,3.58,10,2010
257,25-34 years,Albania,11926953259.0,183579,334.7,female,3.27,6,2010
258,75+ years,Albania,11926953259.0,64415,334.7,female,3.1,2,2010
259,35-54 years,Albania,11926953259.0,394593,334.7,female,3.04,12,2010
260,55-74 years,Albania,11926953259.0,241491,334.7,female,2.9,7,2010
261,15-24 years,Albania,11926953259.0,263581,334.7,female,2.28,6,2010
262,5-14 years,Albania,11926953259.0,223969,334.7,female,0.89,2,2010
263,5-14 years,Albania,11926953259.0,240939,334.7,male,0.0,0,2010
264,35-54 years,Armenia,2256838858.0,332700,6.7,male,7.51,25,1990
265,75+ years,Armenia,2256838858.0,26900,6.7,male,7.43,2,1990
266,55-74 years,Armenia,2256838858.0,183800,6.7,male,5.98,11,1990
267,25-34 years,Armenia,2256838858.0,307100,6.7,male,5.21,16,1990
268,35-54 years,Armenia,2256838858.0,358000,6.7,female,4.19,15,1990
269,15-24 years,Armenia,2256838858.0,272500,6.7,male,3.67,10,1990
270,55-74 years,Armenia,2256838858.0,224100,6.7,female,2.68,6,1990
271,75+ years,Armenia,2256838858.0,48900,6.7,female,2.04,1,1990
272,25-34 years,Armenia,2256838858.0,320700,6.7,female,1.25,4,1990
273,15-24 years,Armenia,2256838858.0,258500,6.7,female,1.16,3,1990
274,5-14 years,Armenia,2256838858.0,316900,6.7,female,0.0,0,1990
275,5-14 years,Armenia,2256838858.0,333600,6.7,male,0.0,0,1990
276,75+ years,Armenia,2068526522.0,28800,6.7,male,17.36,5,1991
277,25-34 years,Armenia,2068526522.0,313800,6.7,male,6.37,20,1991
278,55-74 years,Armenia,2068526522.0,247900,6.7,female,4.44,11,1991
279,55-74 years,Armenia,2068526522.0,203100,6.7,male,4.43,9,1991
280,35-54 years,Armenia,2068526522.0,348500,6.7,male,4.02,14,1991
281,75+ years,Armenia,2068526522.0,52900,6.7,female,3.78,2,1991
282,35-54 years,Armenia,2068526522.0,396300,6.7,female,2.27,9,1991
283,15-24 years,Armenia,2068526522.0,295300,6.7,male,2.03,6,1991
284,25-34 years,Armenia,2068526522.0,342100,6.7,female,1.17,4,1991
285,15-24 years,Armenia,2068526522.0,286400,6.7,female,0.0,0,1991
286,5-14 years,Armenia,2068526522.0,349500,6.7,female,0.0,0,1991
287,5-14 years,Armenia,2068526522.0,366200,6.7,male,0.0,0,1991
288,75+ years,Armenia,1272577456.0,28200,6.7,male,10.64,3,1992
289,55-74 years,Armenia,1272577456.0,215100,6.7,male,6.97,15,1992
290,35-54 years,Armenia,1272577456.0,360400,6.7,male,6.1,22,1992
291,25-34 years,Armenia,1272577456.0,312600,6.7,male,4.8,15,1992
292,55-74 years,Armenia,1272577456.0,263400,6.7,female,3.8,10,1992
293,75+ years,Armenia,1272577456.0,53400,6.7,female,3.75,2,1992
294,15-24 years,Armenia,1272577456.0,300300,6.7,male,3.0,9,1992
295,35-54 years,Armenia,1272577456.0,410800,6.7,female,1.46,6,1992
296,15-24 years,Armenia,1272577456.0,290100,6.7,female,0.34,1,1992
297,25-34 years,Armenia,1272577456.0,340900,6.7,female,0.0,0,1992
298,5-14 years,Armenia,1272577456.0,358200,6.7,female,0.0,0,1992
299,5-14 years,Armenia,1272577456.0,375300,6.7,male,0.0,0,1992
300,75+ years,Armenia,1201313201.0,53100,6.7,female,11.3,6,1993
301,55-74 years,Armenia,1201313201.0,226400,6.7,male,8.83,20,1993
302,75+ years,Armenia,1201313201.0,28400,6.7,male,7.04,2,1993
303,35-54 years,Armenia,1201313201.0,371900,6.7,male,6.72,25,1993
304,25-34 years,Armenia,1201313201.0,305600,6.7,male,5.56,17,1993
305,55-74 years,Armenia,1201313201.0,276100,6.7,female,5.07,14,1993
306,15-24 years,Armenia,1201313201.0,304800,6.7,male,2.3,7,1993
307,25-34 years,Armenia,1201313201.0,335900,6.7,female,1.79,6,1993
308,35-54 years,Armenia,1201313201.0,424000,6.7,female,1.42,6,1993
309,15-24 years,Armenia,1201313201.0,293900,6.7,female,1.02,3,1993
310,5-14 years,Armenia,1201313201.0,364200,6.7,female,0.0,0,1993
311,5-14 years,Armenia,1201313201.0,382300,6.7,male,0.0,0,1993
312,75+ years,Armenia,1315158670.0,28200,6.1,male,24.82,7,1994
313,75+ years,Armenia,1315158670.0,51700,6.1,female,9.67,5,1994
314,55-74 years,Armenia,1315158670.0,235500,6.1,male,8.49,20,1994
315,35-54 years,Armenia,1315158670.0,382500,6.1,male,8.1,31,1994
316,55-74 years,Armenia,1315158670.0,286000,6.1,female,6.29,18,1994
317,25-34 years,Armenia,1315158670.0,297000,6.1,male,3.37,10,1994
318,15-24 years,Armenia,1315158670.0,308300,6.1,male,1.95,6,1994
319,35-54 years,Armenia,1315158670.0,437100,6.1,female,1.6,7,1994
320,15-24 years,Armenia,1315158670.0,297600,6.1,female,1.34,4,1994
321,5-14 years,Armenia,1315158670.0,385400,6.1,male,0.52,2,1994
322,25-34 years,Armenia,1315158670.0,326200,6.1,female,0.31,1,1994
323,5-14 years,Armenia,1315158670.0,367000,6.1,female,0.27,1,1994
324,55-74 years,Armenia,1468317350.0,242300,17.4,male,11.97,29,1995
325,35-54 years,Armenia,1468317350.0,395200,17.4,male,8.1,32,1995
326,25-34 years,Armenia,1468317350.0,289500,17.4,male,7.25,21,1995
327,75+ years,Armenia,1468317350.0,28000,17.4,male,7.14,2,1995
328,75+ years,Armenia,1468317350.0,51400,17.4,female,3.89,2,1995
329,55-74 years,Armenia,1468317350.0,295200,17.4,female,3.73,11,1995
330,25-34 years,Armenia,1468317350.0,313300,17.4,female,3.51,11,1995
331,15-24 years,Armenia,1468317350.0,313600,17.4,male,3.19,10,1995
332,35-54 years,Armenia,1468317350.0,453600,17.4,female,1.76,8,1995
333,15-24 years,Armenia,1468317350.0,303200,17.4,female,0.99,3,1995
334,5-14 years,Armenia,1468317350.0,388200,17.4,male,0.26,1,1995
335,5-14 years,Armenia,1468317350.0,369700,17.4,female,0.0,0,1995
336,75+ years,Armenia,1596968913.0,27900,22.9,male,10.75,3,1996
337,55-74 years,Armenia,1596968913.0,246200,22.9,male,7.31,18,1996
338,35-54 years,Armenia,1596968913.0,409800,22.9,male,5.86,24,1996
339,25-34 years,Armenia,1596968913.0,284300,22.9,male,4.57,13,1996
340,55-74 years,Armenia,1596968913.0,301900,22.9,female,3.97,12,1996
341,35-54 years,Armenia,1596968913.0,471200,22.9,female,1.49,7,1996
342,15-24 years,Armenia,1596968913.0,320000,22.9,male,1.25,4,1996
343,25-34 years,Armenia,1596968913.0,301500,22.9,female,1.0,3,1996
344,15-24 years,Armenia,1596968913.0,310200,22.9,female,0.32,1,1996
345,5-14 years,Armenia,1596968913.0,371900,22.9,female,0.27,1,1996
346,5-14 years,Armenia,1596968913.0,390300,22.9,male,0.26,1,1996
347,75+ years,Armenia,1596968913.0,51100,22.9,female,0.0,0,1996
348,55-74 years,Armenia,1639492424.0,246200,27.7,male,8.53,21,1997
349,35-54 years,Armenia,1639492424.0,426000,27.7,male,6.1,26,1997
350,75+ years,Armenia,1639492424.0,51400,27.7,female,5.84,3,1997
351,75+ years,Armenia,1639492424.0,28500,27.7,male,3.51,1,1997
352,25-34 years,Armenia,1639492424.0,282000,27.7,male,3.19,9,1997
353,55-74 years,Armenia,1639492424.0,304400,27.7,female,2.63,8,1997
354,15-24 years,Armenia,1639492424.0,327300,27.7,male,1.22,4,1997
355,35-54 years,Armenia,1639492424.0,489900,27.7,female,0.61,3,1997
356,25-34 years,Armenia,1639492424.0,294200,27.7,female,0.34,1,1997
357,5-14 years,Armenia,1639492424.0,389500,27.7,male,0.26,1,1997
358,15-24 years,Armenia,1639492424.0,316500,27.7,female,0.0,0,1997
359,5-14 years,Armenia,1639492424.0,370800,27.7,female,0.0,0,1997
360,75+ years,Armenia,1893726437.0,29600,35.6,male,6.76,2,1998
361,55-74 years,Armenia,1893726437.0,243300,35.6,male,6.58,16,1998
362,35-54 years,Armenia,1893726437.0,445000,35.6,male,4.49,20,1998
363,25-34 years,Armenia,1893726437.0,280200,35.6,male,2.14,6,1998
364,55-74 years,Armenia,1893726437.0,302000,35.6,female,1.99,6,1998
365,75+ years,Armenia,1893726437.0,53100,35.6,female,1.88,1,1998
366,35-54 years,Armenia,1893726437.0,509800,35.6,female,1.77,9,1998
367,15-24 years,Armenia,1893726437.0,335100,35.6,male,1.19,4,1998
368,25-34 years,Armenia,1893726437.0,289300,35.6,female,0.35,1,1998
369,5-14 years,Armenia,1893726437.0,364600,35.6,female,0.27,1,1998
370,15-24 years,Armenia,1893726437.0,322300,35.6,female,0.0,0,1998
371,5-14 years,Armenia,1893726437.0,383700,35.6,male,0.0,0,1998
372,55-74 years,Armenia,1845482181.0,238100,37.7,male,6.3,15,1999
373,75+ years,Armenia,1845482181.0,56800,37.7,female,5.28,3,1999
374,35-54 years,Armenia,1845482181.0,464300,37.7,male,4.74,22,1999
375,55-74 years,Armenia,1845482181.0,296800,37.7,female,3.03,9,1999
376,25-34 years,Armenia,1845482181.0,279800,37.7,male,2.14,6,1999
377,15-24 years,Armenia,1845482181.0,344000,37.7,male,1.74,6,1999
378,35-54 years,Armenia,1845482181.0,530700,37.7,female,0.75,4,1999
